Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,Light,Foot,Group,number,UserIDs_in,Date,KEEP
41,12:15:37,8207.5,15,0.274,297,7.36,2.32,1.6,1,4.77,28.91,29.87,28.55,409.73,404.94,20.52,22.437,43.52,47.59,600.6,1499,250,84.88,6.18,-0.516,0.7,111115,shade,8,North,3,SN83,8/5/2021,Y
42,12:18:07,8357.5,14.6,0.307,309,8.09,2.3,1.6,1,4.77,28.19,29.8,27.78,409.5,404.75,20.46,22.567,45.25,49.91,600.6,2000,250,84.87,5.98,-0.509,1,111115,shade,8,North,3,SN83,8/5/2021,Y
43,12:24:37,8747.5,1.07,0.196,381,5.54,2.41,2.4,1,4.42,30.79,30.26,30.11,410.33,408.99,20.387,22.552,38.82,42.95,600.6,50,1735,84.87,7.04,-0.525,1,111115,light,8,North,3,LN83,8/5/2021,Y
44,12:27:07,8897.5,4.95,0.176,344,4.94,2.39,2.4,1,4.42,29.43,30.08,28.16,410.5,407.72,20.365,22.294,41.92,45.89,600.6,100,1739,84.86,7.16,-0.494,1,111115,light,8,North,3,LN83,8/5/2021,Y
45,12:29:39,9048.5,8.35,0.167,308,4.63,2.35,2.4,1,4.42,28.54,29.87,26.98,410.49,406.4,20.368,22.177,44.15,48.07,600.6,201,1748,84.86,7.11,-0.486,0.7,111115,light,8,North,3,LN83,8/5/2021,Y
46,12:32:09,9199.5,10.3,0.169,289,4.7,2.36,2.4,1,4.42,28.09,29.94,26.4,410.51,405.62,20.379,22.215,45.32,49.41,600.7,399,1758,84.86,7.29,-0.482,1,111115,light,8,North,3,LN83,8/5/2021,Y
47,12:34:39,9349.5,11.9,0.172,274,4.93,2.43,2.4,1,4.42,28.05,30.27,26.33,410.28,404.72,20.455,22.379,45.61,49.9,600.6,599,1764,84.85,7.4,-0.485,1,111115,light,8,North,3,LN83,8/5/2021,Y
48,12:37:10,9500.5,13.6,0.183,265,5.37,2.5,2.4,1,4.42,28.05,30.61,26.32,410.43,404.15,20.498,22.596,45.71,50.39,600.6,899,1771,84.85,7.62,-0.481,1,111115,light,8,North,3,LN83,8/5/2021,Y
49,12:39:40,9650.5,13.2,0.185,268,5.67,2.61,2.4,1,4.42,28.12,31.07,26.37,410.32,404.12,20.446,22.658,45.38,50.29,600.7,1200,1785,84.84,7.82,-0.48,1,111115,light,8,North,3,LN83,8/5/2021,Y
50,12:42:10,9800.5,13.9,0.19,265,6.1,2.73,2.4,1,4.42,28.28,31.63,26.51,410.37,403.82,20.558,22.94,45.21,50.44,600.7,1500,1789,84.84,7.97,-0.479,1,111115,light,8,North,3,LN83,8/5/2021,Y
51,12:44:40,9950.5,14.1,0.193,263,6.66,2.93,2.4,1,4.42,28.51,32.46,26.7,410.27,403.55,20.628,23.228,44.77,50.41,600.7,2000,1800,84.84,7.95,-0.478,1,111115,light,8,North,3,LN83,8/5/2021,Y
52,12:50:35,10305.5,2.08,0.147,367,4.34,2.48,1.5,1,4.82,28.79,30.35,27.24,409.83,408.87,20.897,21.957,44.61,46.87,600.6,51,1672,84.82,8.5,-0.428,1,111115,light,6,North,1,LN61,8/5/2021,Y
53,12:53:04,10454.5,5.87,0.141,322,4.09,2.45,1.5,1,4.82,28.64,30.16,27.12,409.8,407.92,20.839,21.839,44.87,47.03,600.7,101,1673,84.82,8.31,-0.428,1,111115,light,6,North,1,LN61,8/5/2021,Y
54,12:55:39,10609.5,6.84,0.145,313,4.13,2.41,1.5,1,4.82,28.65,29.98,27.15,409.74,407.61,20.813,21.822,44.8,46.97,600.6,200,1668,84.82,8.71,-0.427,1,111115,light,6,North,1,LN61,8/5/2021,Y
55,12:58:07,10757.5,10.1,0.15,280,4.38,2.46,1.5,1,4.82,28.82,30.25,27.33,409.73,406.78,20.85,21.92,44.44,46.72,600.7,399,1663,84.81,8.55,-0.427,1,111115,light,6,North,1,LN61,8/5/2021,Y
56,13:00:35,10905.5,11.7,0.155,266,4.73,2.58,1.5,1,4.82,28.98,30.75,27.48,409.77,406.38,20.874,22.031,44.06,46.51,600.7,600,1663,84.81,8.74,-0.419,1,111115,light,6,North,1,LN61,8/5/2021,Y
57,13:03:04,11054.5,13.5,0.153,244,4.91,2.71,1.5,1,4.82,29.27,31.28,27.74,409.83,405.97,20.902,22.102,43.4,45.89,600.7,900,1652,84.81,8.83,-0.415,0.7,111115,light,6,North,1,LN61,8/5/2021,Y
58,13:05:33,11203.5,13,0.159,254,5.29,2.81,1.5,1,4.82,29.5,31.68,27.96,410.06,406.28,20.926,22.219,42.87,45.52,600.7,1199,1644,84.81,9.4,-0.424,1,111115,light,6,North,1,LN61,8/5/2021,Y
59,13:08:02,11352.5,13.6,0.163,250,5.71,2.94,1.5,1,4.82,29.82,32.24,28.24,409.9,405.92,20.978,22.372,42.2,45.01,600.7,1499,1631,84.81,9.45,-0.416,1,111115,light,6,North,1,LN61,8/5/2021,Y
60,13:10:32,11502.5,14.1,0.166,246,6.24,3.17,1.5,1,4.82,30.23,33.12,28.62,410.02,405.87,21.09,22.613,41.43,44.42,600.7,1999,1631,84.8,9.66,-0.401,1,111115,light,6,North,1,LN61,8/5/2021,Y
61,13:17:27,11917.5,2.21,0.121,360,3.4,2.37,2.6,1,4.33,28.9,30.16,27.31,409.28,407.72,21.347,22.787,45.28,48.33,599.8,51,133,84.8,8.88,-0.451,1,111115,shade,6,North,1,SN61,8/5/2021,Y
62,13:19:55,12065.5,4.89,0.0931,305,2.56,2.29,2.6,1,4.33,28.86,29.78,27.77,409.34,406.77,21.471,22.555,45.64,47.95,599.8,101,133,84.8,8.58,-0.444,1,111115,shade,6,North,1,SN61,8/5/2021,Y
63,13:22:23,12213.5,7.15,0.089,260,2.47,2.31,2.6,1,4.33,29.26,29.89,28.36,409.41,405.88,21.614,22.658,44.89,47.06,599.8,199,132,84.8,8.3,-0.471,0.7,111115,shade,6,North,1,SN61,8/5/2021,Y
64,13:24:51,12361.5,7.96,0.0943,253,2.61,2.31,2.6,1,4.33,28.91,29.92,27.97,409.14,405.23,21.705,22.809,46,48.34,599.8,401,130,84.79,8.08,-0.471,1,111115,shade,6,North,1,SN61,8/5/2021,Y
65,13:27:19,12509.5,8.84,0.1,247,2.75,2.29,2.6,1,4.33,28.53,29.9,27.58,409.92,405.61,21.789,22.954,47.21,49.74,599.8,600,132,84.79,7.47,-0.484,1,111115,shade,6,North,1,SN61,8/5/2021,Y
66,13:29:48,12658.5,9.66,0.111,248,3,2.27,2.6,1,4.33,27.86,29.89,26.79,409.88,405.17,21.887,23.159,49.31,52.18,599.8,900,131,84.78,7.35,-0.487,1,111115,shade,6,North,1,SN61,8/5/2021,Y
67,13:32:17,12807.5,10.4,0.122,252,3.3,2.26,2.6,1,4.33,27.1,29.92,25.81,409.68,404.61,21.954,23.349,51.69,54.98,599.8,1199,131,84.78,7.08,-0.493,1,111115,shade,6,North,1,SN61,8/5/2021,Y
68,13:34:47,12957.5,11.2,0.132,251,3.57,2.27,2.6,1,4.33,26.25,30,24.58,409.64,404.16,22.025,23.535,54.53,58.27,599.8,1499,130,84.78,6.86,-0.504,1,111115,shade,6,North,1,SN61,8/5/2021,Y
69,13:37:16,13106.5,11.3,0.145,260,4.12,2.39,2.6,1,4.33,25.92,30.63,24.19,409.41,403.79,22.144,23.886,55.89,60.28,599.7,2000,130,84.78,6.74,-0.515,1,111115,shade,6,North,1,SN61,8/5/2021,Y
