"","date","lat","lon","altitude","azimuth"
"66",2021-01-02 08:30:00,40.16,-105.1,0.166223019384811,-0.853165212261704
"67",2021-01-02 09:00:00,40.16,-105.1,0.238266133256042,-0.754483907990567
"68",2021-01-02 09:30:00,40.16,-105.1,0.302863988271507,-0.648841325333972
"69",2021-01-02 10:00:00,40.16,-105.1,0.358751395153705,-0.535884373281372
"70",2021-01-02 10:30:00,40.16,-105.1,0.404615625047578,-0.415732636993153
"71",2021-01-02 11:00:00,40.16,-105.1,0.439191166405861,-0.289123910808613
"72",2021-01-02 11:30:00,40.16,-105.1,0.461389016136742,-0.157493122761427
"73",2021-01-02 12:00:00,40.16,-105.1,0.470439477243201,-0.0229173527656236
"74",2021-01-02 12:30:00,40.16,-105.1,0.466011351116098,0.112107146009599
"75",2021-01-02 13:00:00,40.16,-105.1,0.448267987305168,0.245017667975297
"76",2021-01-02 13:30:00,40.16,-105.1,0.417839289299861,0.373559740029056
"77",2021-01-02 14:00:00,40.16,-105.1,0.375720285672252,0.496063223700248
"78",2021-01-02 14:30:00,40.16,-105.1,0.323131747538362,0.61155428978577
"79",2021-01-02 15:00:00,40.16,-105.1,0.261382935873503,0.719715671124355
"80",2021-01-02 15:30:00,40.16,-105.1,0.191763751879119,0.820756304310264
"81",2021-01-02 16:00:00,40.16,-105.1,0.115475686096858,0.915256196685819
"82",2021-01-02 16:30:00,40.16,-105.1,0.0335978456116158,1.00403089827245
"83",2021-01-02 17:00:00,40.16,-105.1,-0.0529212159025565,1.08803497528826
"84",2021-01-02 17:30:00,40.16,-105.1,-0.143255275962681,1.16830733495637
"85",2021-01-02 18:00:00,40.16,-105.1,-0.236682940914352,1.24595443556921
"86",2021-01-02 18:30:00,40.16,-105.1,-0.332565042328084,1.32216733269426
"87",2021-01-02 19:00:00,40.16,-105.1,-0.430318467470099,1.39827261066318
"88",2021-01-02 19:30:00,40.16,-105.1,-0.529385604233082,1.47582449774779
"89",2021-01-02 20:00:00,40.16,-105.1,-0.629195792032624,1.55675676970187
"90",2021-01-02 20:30:00,40.16,-105.1,-0.729111012125748,1.64363198951504
"91",2021-01-02 21:00:00,40.16,-105.1,-0.828340351274157,1.74005880623221
"92",2021-01-02 21:30:00,40.16,-105.1,-0.925791778698643,1.85140414151813
